항목ID,항목코드,항목코드명,,,
,24,매장 간판 및 외관 광고물,,,
,25,매장 내 광고(POP),,,
,26,판매원(점원) 추천,,,
,27,샘플/구매 사은품,,,
,28,쿠폰/프로모션 등 행사 및 이벤트,,,
,29,매장 내 진열제품 및 제품정보,,,
,30,주변사람(친구/가족/동료)의 추천,,,
,31,회사의 사회공헌 및 기여활동,,,
,32,게임 또는 스포츠 팀 후원,,,
,33,TV프로그램 후원 및 영화 제작 투자,,,
,34,신제품발표회/무역박람회/전시회,,,
,98,기타,,,
,99,없음,,,
E_002#18,1,TV 광고,,,
,2,드라마 등 TV프로그램 속 간접광고(PPL),,,
,3,라디오 광고,,,
,4,신문 광고,,,
,5,신문 기사,,,
,6,잡지 광고,,,
,7,잡지 기사,,,
,8,제품 카달로그/전단지,,,
,9,광고 우편물/명세서 등,,,
,10,배너 광고,,,
,11,팝업 광고,,,
,12,동영상 광고 (동영상 재생 전후 등),,,
,13,검색어/키워드 광고,,,
,14,인터넷 기사,,,
,15,"SNS(페이스북, 인스타그램, 트위터 등) 광고/홍보",,,
,16,"SNS, 블로그 사용자 후기 및 전문가 리뷰",,,
,17,"포털 카페 및 커뮤니티(네이버, 다음 등)",,,
,18,가격비교사이트 및 제품 관련 전문사이트,,,
,19,해당 제품/매장 웹사이트,,,
,20,이메일 광고/뉴스레터 등,,,
,21,"건물 외벽/옥상, 역사 및 정류장 광고",,,
,22,"버스, 택시, 지하철 광고",,,
,23,"영화관, 스포츠 경기장, 공연장 등 광고",,,
,24,매장 간판 및 외관 광고물,,,
,25,매장 내 광고(POP),,,
,26,판매원(점원) 추천,,,
,27,샘플/구매 사은품,,,
,28,쿠폰/프로모션 등 행사 및 이벤트,,,
,29,매장 내 진열제품 및 제품정보,,,
,30,주변사람(친구/가족/동료)의 추천,,,
,31,회사의 사회공헌 및 기여활동,,,
,32,게임 또는 스포츠 팀 후원,,,
,33,TV프로그램 후원 및 영화 제작 투자,,,
,34,신제품발표회/무역박람회/전시회,,,
,98,기타,,,
,99,없음,,,
E_002#19,1,TV 광고,,,
,2,드라마 등 TV프로그램 속 간접광고(PPL),,,
,3,라디오 광고,,,
,4,신문 광고,,,
,5,신문 기사,,,
,6,잡지 광고,,,
,7,잡지 기사,,,
,8,제품 카달로그/전단지,,,
,9,광고 우편물/명세서 등,,,
,10,배너 광고,,,
,11,팝업 광고,,,
,12,동영상 광고 (동영상 재생 전후 등),,,
,13,검색어/키워드 광고,,,
,14,인터넷 기사,,,
,15,"SNS(페이스북, 인스타그램, 트위터 등) 광고/홍보",,,
,16,"SNS, 블로그 사용자 후기 및 전문가 리뷰",,,
,17,"포털 카페 및 커뮤니티(네이버, 다음 등)",,,
,18,가격비교사이트 및 제품 관련 전문사이트,,,
,19,해당 제품/매장 웹사이트,,,
,20,이메일 광고/뉴스레터 등,,,
,21,"건물 외벽/옥상, 역사 및 정류장 광고",,,
,22,"버스, 택시, 지하철 광고",,,
,23,"영화관, 스포츠 경기장, 공연장 등 광고",,,
,24,매장 간판 및 외관 광고물,,,
,25,매장 내 광고(POP),,,
,26,판매원(점원) 추천,,,
,27,샘플/구매 사은품,,,
,28,쿠폰/프로모션 등 행사 및 이벤트,,,
,29,매장 내 진열제품 및 제품정보,,,
,30,주변사람(친구/가족/동료)의 추천,,,
,31,회사의 사회공헌 및 기여활동,,,
,32,게임 또는 스포츠 팀 후원,,,
,33,TV프로그램 후원 및 영화 제작 투자,,,
,34,신제품발표회/무역박람회/전시회,,,
,98,기타,,,
,99,없음,,,
E_002#20,1,TV 광고,,,
,2,드라마 등 TV프로그램 속 간접광고(PPL),,,
,3,라디오 광고,,,
,4,신문 광고,,,
,5,신문 기사,,,
,6,잡지 광고,,,
,7,잡지 기사,,,
,8,제품 카달로그/전단지,,,
,9,광고 우편물/명세서 등,,,
,10,배너 광고,,,
,11,팝업 광고,,,
,12,동영상 광고 (동영상 재생 전후 등),,,
,13,검색어/키워드 광고,,,
,14,인터넷 기사,,,
,15,"SNS(페이스북, 인스타그램, 트위터 등) 광고/홍보",,,
,16,"SNS, 블로그 사용자 후기 및 전문가 리뷰",,,
,17,"포털 카페 및 커뮤니티(네이버, 다음 등)",,,
,18,가격비교사이트 및 제품 관련 전문사이트,,,
,19,해당 제품/매장 웹사이트,,,
,20,이메일 광고/뉴스레터 등,,,
,21,"건물 외벽/옥상, 역사 및 정류장 광고",,,
,22,"버스, 택시, 지하철 광고",,,
,23,"영화관, 스포츠 경기장, 공연장 등 광고",,,
,24,매장 간판 및 외관 광고물,,,
,25,매장 내 광고(POP),,,
,26,판매원(점원) 추천,,,
,27,샘플/구매 사은품,,,
,28,쿠폰/프로모션 등 행사 및 이벤트,,,
,29,매장 내 진열제품 및 제품정보,,,
,30,주변사람(친구/가족/동료)의 추천,,,
,31,회사의 사회공헌 및 기여활동,,,
,32,게임 또는 스포츠 팀 후원,,,
,33,TV프로그램 후원 및 영화 제작 투자,,,
,34,신제품발표회/무역박람회/전시회,,,
,98,기타,,,
,99,없음,,,
E_002#21,1,TV 광고,,,
,2,드라마 등 TV프로그램 속 간접광고(PPL),,,
,3,라디오 광고,,,
,4,신문 광고,,,
,5,신문 기사,,,
,6,잡지 광고,,,
,7,잡지 기사,,,
,8,제품 카달로그/전단지,,,
,9,광고 우편물/명세서 등,,,
,10,배너 광고,,,
,11,팝업 광고,,,
,12,동영상 광고 (동영상 재생 전후 등),,,
,13,검색어/키워드 광고,,,
,14,인터넷 기사,,,
,15,"SNS(페이스북, 인스타그램, 트위터 등) 광고/홍보",,,
,16,"SNS, 블로그 사용자 후기 및 전문가 리뷰",,,
,17,"포털 카페 및 커뮤니티(네이버, 다음 등)",,,
,18,가격비교사이트 및 제품 관련 전문사이트,,,
,19,해당 제품/매장 웹사이트,,,
,20,이메일 광고/뉴스레터 등,,,
,21,"건물 외벽/옥상, 역사 및 정류장 광고",,,
,22,"버스, 택시, 지하철 광고",,,
,23,"영화관, 스포츠 경기장, 공연장 등 광고",,,
,24,매장 간판 및 외관 광고물,,,
,25,매장 내 광고(POP),,,
,26,판매원(점원) 추천,,,
,27,샘플/구매 사은품,,,
,28,쿠폰/프로모션 등 행사 및 이벤트,,,
,29,매장 내 진열제품 및 제품정보,,,
,30,주변사람(친구/가족/동료)의 추천,,,
,31,회사의 사회공헌 및 기여활동,,,
,32,게임 또는 스포츠 팀 후원,,,
,33,TV프로그램 후원 및 영화 제작 투자,,,
,34,신제품발표회/무역박람회/전시회,,,
,98,기타,,,
,99,없음,,,
E_002#22,1,TV 광고,,,
,2,드라마 등 TV프로그램 속 간접광고(PPL),,,
,3,라디오 광고,,,
,4,신문 광고,,,
,5,신문 기사,,,
,6,잡지 광고,,,
,7,잡지 기사,,,
,8,제품 카달로그/전단지,,,
,9,광고 우편물/명세서 등,,,
,10,배너 광고,,,
,11,팝업 광고,,,
,12,동영상 광고 (동영상 재생 전후 등),,,
,13,검색어/키워드 광고,,,
,14,인터넷 기사,,,
,15,"SNS(페이스북, 인스타그램, 트위터 등) 광고/홍보",,,
,16,"SNS, 블로그 사용자 후기 및 전문가 리뷰",,,
,17,"포털 카페 및 커뮤니티(네이버, 다음 등)",,,
,18,가격비교사이트 및 제품 관련 전문사이트,,,
,19,해당 제품/매장 웹사이트,,,
,20,이메일 광고/뉴스레터 등,,,
,21,"건물 외벽/옥상, 역사 및 정류장 광고",,,
,22,"버스, 택시, 지하철 광고",,,
,23,"영화관, 스포츠 경기장, 공연장 등 광고",,,
,24,매장 간판 및 외관 광고물,,,
,25,매장 내 광고(POP),,,
,26,판매원(점원) 추천,,,
,27,샘플/구매 사은품,,,
,28,쿠폰/프로모션 등 행사 및 이벤트,,,
,29,매장 내 진열제품 및 제품정보,,,
,30,주변사람(친구/가족/동료)의 추천,,,
,31,회사의 사회공헌 및 기여활동,,,
,32,게임 또는 스포츠 팀 후원,,,
,33,TV프로그램 후원 및 영화 제작 투자,,,
,34,신제품발표회/무역박람회/전시회,,,
,98,기타,,,
,99,없음,,,
E_002#23,1,TV 광고,,,
,2,드라마 등 TV프로그램 속 간접광고(PPL),,,
,3,라디오 광고,,,
,4,신문 광고,,,
,5,신문 기사,,,
,6,잡지 광고,,,
,7,잡지 기사,,,
,8,제품 카달로그/전단지,,,
,9,광고 우편물/명세서 등,,,
,10,배너 광고,,,
,11,팝업 광고,,,
,12,동영상 광고 (동영상 재생 전후 등),,,
,13,검색어/키워드 광고,,,
,14,인터넷 기사,,,
,15,"SNS(페이스북, 인스타그램, 트위터 등) 광고/홍보",,,
,16,"SNS, 블로그 사용자 후기 및 전문가 리뷰",,,
,17,"포털 카페 및 커뮤니티(네이버, 다음 등)",,,
,18,가격비교사이트 및 제품 관련 전문사이트,,,
,19,해당 제품/매장 웹사이트,,,
,20,이메일 광고/뉴스레터 등,,,
,21,"건물 외벽/옥상, 역사 및 정류장 광고",,,
,22,"버스, 택시, 지하철 광고",,,
,23,"영화관, 스포츠 경기장, 공연장 등 광고",,,
,24,매장 간판 및 외관 광고물,,,
,25,매장 내 광고(POP),,,
,26,판매원(점원) 추천,,,
,27,샘플/구매 사은품,,,
,28,쿠폰/프로모션 등 행사 및 이벤트,,,
,29,매장 내 진열제품 및 제품정보,,,
,30,주변사람(친구/가족/동료)의 추천,,,
,31,회사의 사회공헌 및 기여활동,,,
,32,게임 또는 스포츠 팀 후원,,,
,33,TV프로그램 후원 및 영화 제작 투자,,,
,34,신제품발표회/무역박람회/전시회,,,
,98,기타,,,
,99,없음,,,
E_002#24,1,TV 광고,,,
,2,드라마 등 TV프로그램 속 간접광고(PPL),,,
,3,라디오 광고,,,
,4,신문 광고,,,
,5,신문 기사,,,
,6,잡지 광고,,,
,7,잡지 기사,,,
,8,제품 카달로그/전단지,,,
,9,광고 우편물/명세서 등,,,
,10,배너 광고,,,
,11,팝업 광고,,,
,12,동영상 광고 (동영상 재생 전후 등),,,
,13,검색어/키워드 광고,,,
,14,인터넷 기사,,,
,15,"SNS(페이스북, 인스타그램, 트위터 등) 광고/홍보",,,
,16,"SNS, 블로그 사용자 후기 및 전문가 리뷰",,,
,17,"포털 카페 및 커뮤니티(네이버, 다음 등)",,,
,18,가격비교사이트 및 제품 관련 전문사이트,,,
,19,해당 제품/매장 웹사이트,,,
,20,이메일 광고/뉴스레터 등,,,
,21,"건물 외벽/옥상, 역사 및 정류장 광고",,,
,22,"버스, 택시, 지하철 광고",,,
,23,"영화관, 스포츠 경기장, 공연장 등 광고",,,
,24,매장 간판 및 외관 광고물,,,
,25,매장 내 광고(POP),,,
,26,판매원(점원) 추천,,,
,27,샘플/구매 사은품,,,
,28,쿠폰/프로모션 등 행사 및 이벤트,,,
,29,매장 내 진열제품 및 제품정보,,,
,30,주변사람(친구/가족/동료)의 추천,,,
,31,회사의 사회공헌 및 기여활동,,,
,32,게임 또는 스포츠 팀 후원,,,
,33,TV프로그램 후원 및 영화 제작 투자,,,
,34,신제품발표회/무역박람회/전시회,,,
,98,기타,,,
,99,없음,,,
E_002#25,1,TV 광고,,,
,2,드라마 등 TV프로그램 속 간접광고(PPL),,,
,3,라디오 광고,,,
,4,신문 광고,,,
,5,신문 기사,,,
,6,잡지 광고,,,
,7,잡지 기사,,,
,8,제품 카달로그/전단지,,,
,9,광고 우편물/명세서 등,,,
,10,배너 광고,,,
,11,팝업 광고,,,
,12,동영상 광고 (동영상 재생 전후 등),,,
,13,검색어/키워드 광고,,,
,14,인터넷 기사,,,
,15,"SNS(페이스북, 인스타그램, 트위터 등) 광고/홍보",,,
,16,"SNS, 블로그 사용자 후기 및 전문가 리뷰",,,
,17,"포털 카페 및 커뮤니티(네이버, 다음 등)",,,
,18,가격비교사이트 및 제품 관련 전문사이트,,,
,19,해당 제품/매장 웹사이트,,,
,20,이메일 광고/뉴스레터 등,,,
,21,"건물 외벽/옥상, 역사 및 정류장 광고",,,
,22,"버스, 택시, 지하철 광고",,,
,23,"영화관, 스포츠 경기장, 공연장 등 광고",,,
,24,매장 간판 및 외관 광고물,,,
,25,매장 내 광고(POP),,,
,26,판매원(점원) 추천,,,
,27,샘플/구매 사은품,,,
,28,쿠폰/프로모션 등 행사 및 이벤트,,,
,29,매장 내 진열제품 및 제품정보,,,
,30,주변사람(친구/가족/동료)의 추천,,,
,31,회사의 사회공헌 및 기여활동,,,
,32,게임 또는 스포츠 팀 후원,,,
,33,TV프로그램 후원 및 영화 제작 투자,,,
,34,신제품발표회/무역박람회/전시회,,,
,98,기타,,,
,99,없음,,,
E_002#26,1,TV 광고,,,
,2,드라마 등 TV프로그램 속 간접광고(PPL),,,
,3,라디오 광고,,,
,4,신문 광고,,,
,5,신문 기사,,,
,6,잡지 광고,,,
,7,잡지 기사,,,
,8,제품 카달로그/전단지,,,
,9,광고 우편물/명세서 등,,,
,10,배너 광고,,,
,11,팝업 광고,,,
,12,동영상 광고 (동영상 재생 전후 등),,,
,13,검색어/키워드 광고,,,
,14,인터넷 기사,,,
,15,"SNS(페이스북, 인스타그램, 트위터 등) 광고/홍보",,,
,16,"SNS, 블로그 사용자 후기 및 전문가 리뷰",,,
,17,"포털 카페 및 커뮤니티(네이버, 다음 등)",,,
,18,가격비교사이트 및 제품 관련 전문사이트,,,
,19,해당 제품/매장 웹사이트,,,
,20,이메일 광고/뉴스레터 등,,,
,21,"건물 외벽/옥상, 역사 및 정류장 광고",,,
,22,"버스, 택시, 지하철 광고",,,
,23,"영화관, 스포츠 경기장, 공연장 등 광고",,,
,24,매장 간판 및 외관 광고물,,,
,25,매장 내 광고(POP),,,
,26,판매원(점원) 추천,,,
,27,샘플/구매 사은품,,,
,28,쿠폰/프로모션 등 행사 및 이벤트,,,
,29,매장 내 진열제품 및 제품정보,,,
,30,주변사람(친구/가족/동료)의 추천,,,
,31,회사의 사회공헌 및 기여활동,,,
,32,게임 또는 스포츠 팀 후원,,,
,33,TV프로그램 후원 및 영화 제작 투자,,,
,34,신제품발표회/무역박람회/전시회,,,
,98,기타,,,
,99,없음,,,
E_002#27,1,TV 광고,,,
,2,드라마 등 TV프로그램 속 간접광고(PPL),,,
,3,라디오 광고,,,
,4,신문 광고,,,
,5,신문 기사,,,
,6,잡지 광고,,,
,7,잡지 기사,,,
,8,제품 카달로그/전단지,,,
,9,광고 우편물/명세서 등,,,
,10,배너 광고,,,
,11,팝업 광고,,,
,12,동영상 광고 (동영상 재생 전후 등),,,
,13,검색어/키워드 광고,,,
,14,인터넷 기사,,,
,15,"SNS(페이스북, 인스타그램, 트위터 등) 광고/홍보",,,
,16,"SNS, 블로그 사용자 후기 및 전문가 리뷰",,,
,17,"포털 카페 및 커뮤니티(네이버, 다음 등)",,,
,18,가격비교사이트 및 제품 관련 전문사이트,,,
,19,해당 제품/매장 웹사이트,,,
,20,이메일 광고/뉴스레터 등,,,
,21,"건물 외벽/옥상, 역사 및 정류장 광고",,,
,22,"버스, 택시, 지하철 광고",,,
,23,"영화관, 스포츠 경기장, 공연장 등 광고",,,
,24,매장 간판 및 외관 광고물,,,
,25,매장 내 광고(POP),,,
,26,판매원(점원) 추천,,,
,27,샘플/구매 사은품,,,
,28,쿠폰/프로모션 등 행사 및 이벤트,,,
,29,매장 내 진열제품 및 제품정보,,,
,30,주변사람(친구/가족/동료)의 추천,,,
,31,회사의 사회공헌 및 기여활동,,,
,32,게임 또는 스포츠 팀 후원,,,
,33,TV프로그램 후원 및 영화 제작 투자,,,
,34,신제품발표회/무역박람회/전시회,,,
,98,기타,,,
,99,없음,,,
E_002#28,1,TV 광고,,,
,2,드라마 등 TV프로그램 속 간접광고(PPL),,,
,3,라디오 광고,,,
,4,신문 광고,,,
,5,신문 기사,,,
,6,잡지 광고,,,
,7,잡지 기사,,,
,8,제품 카달로그/전단지,,,
,9,광고 우편물/명세서 등,,,
,10,배너 광고,,,
,11,팝업 광고,,,
,12,동영상 광고 (동영상 재생 전후 등),,,
,13,검색어/키워드 광고,,,
,14,인터넷 기사,,,
,15,"SNS(페이스북, 인스타그램, 트위터 등) 광고/홍보",,,
,16,"SNS, 블로그 사용자 후기 및 전문가 리뷰",,,
,17,"포털 카페 및 커뮤니티(네이버, 다음 등)",,,
,18,가격비교사이트 및 제품 관련 전문사이트,,,
,19,해당 제품/매장 웹사이트,,,
,20,이메일 광고/뉴스레터 등,,,
,21,"건물 외벽/옥상, 역사 및 정류장 광고",,,
,22,"버스, 택시, 지하철 광고",,,
,23,"영화관, 스포츠 경기장, 공연장 등 광고",,,
,24,매장 간판 및 외관 광고물,,,
,25,매장 내 광고(POP),,,
,26,판매원(점원) 추천,,,
,27,샘플/구매 사은품,,,
,28,쿠폰/프로모션 등 행사 및 이벤트,,,
,29,매장 내 진열제품 및 제품정보,,,
,30,주변사람(친구/가족/동료)의 추천,,,
,31,회사의 사회공헌 및 기여활동,,,
,32,게임 또는 스포츠 팀 후원,,,
,33,TV프로그램 후원 및 영화 제작 투자,,,
,34,신제품발표회/무역박람회/전시회,,,
,98,기타,,,
,99,없음,,,
E_002#29,1,TV 광고,,,
,2,드라마 등 TV프로그램 속 간접광고(PPL),,,
,3,라디오 광고,,,
,4,신문 광고,,,
,5,신문 기사,,,
,6,잡지 광고,,,
,7,잡지 기사,,,
,8,제품 카달로그/전단지,,,
,9,광고 우편물/명세서 등,,,
,10,배너 광고,,,
,11,팝업 광고,,,
,12,동영상 광고 (동영상 재생 전후 등),,,
,13,검색어/키워드 광고,,,
,14,인터넷 기사,,,
,15,"SNS(페이스북, 인스타그램, 트위터 등) 광고/홍보",,,
,16,"SNS, 블로그 사용자 후기 및 전문가 리뷰",,,
,17,"포털 카페 및 커뮤니티(네이버, 다음 등)",,,
,18,가격비교사이트 및 제품 관련 전문사이트,,,
,19,해당 제품/매장 웹사이트,,,
,20,이메일 광고/뉴스레터 등,,,
,21,"건물 외벽/옥상, 역사 및 정류장 광고",,,
,22,"버스, 택시, 지하철 광고",,,
,23,"영화관, 스포츠 경기장, 공연장 등 광고",,,
,24,매장 간판 및 외관 광고물,,,
,25,매장 내 광고(POP),,,
,26,판매원(점원) 추천,,,
,27,샘플/구매 사은품,,,
,28,쿠폰/프로모션 등 행사 및 이벤트,,,
,29,매장 내 진열제품 및 제품정보,,,
,30,주변사람(친구/가족/동료)의 추천,,,
